Saison;Nachname;Vorname;LfdNr;Gesamt;AnzSpiele;Tore;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
2022/23;Borgmann;Jonas;5;2499;29;29;90;90;90;90;90;90;90;90;80;0;0;90;90;0;90;90;84;90;90;90;90;90;90;90;56;90;90;90;90;90;90;;;
2022/23;Büchter;Jakob;6;461;14;27;18;0;0;0;0;0;0;8;0;45;45;63;0;0;0;4;7;0;20;70;45;45;0;0;0;0;0;0;0;19;45;;;
2022/23;Busmann;Lennart;7;290;13;62;18;2;0;0;0;0;0;0;45;1;13;28;0;18;0;0;0;0;4;35;0;0;0;0;45;0;6;13;0;0;0;;;
2022/23;Fousseni;Adinan;8;36;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;28;1;1;0;0;0;0;0;0;0;0;0;;;
2022/23;El Koulali;Akram;9;150;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;28;22;22;21;3;1;0;4;24;0;0;0;18;0;0;;;
2022/23;Gomes Vilas Boas;Leandro;10;274;9;41;0;0;0;13;0;0;0;0;0;0;0;6;17;90;9;0;0;0;0;0;0;0;0;0;0;0;32;62;4;0;0;;;
2022/23;Haliti;Asdren;11;2576;30;50;90;90;90;90;90;54;0;55;90;90;90;90;90;77;90;90;90;90;90;90;90;90;90;90;90;90;0;90;90;90;90;;;
2022/23;Heinz;Merlin;12;2376;30;90;73;88;90;78;90;90;90;90;90;90;21;85;90;73;78;87;90;90;87;56;90;90;45;0;45;90;85;80;45;90;0;;;
2022/23;Kamp;Philipp;13;611;18;35;73;0;36;0;65;0;0;0;19;45;90;45;0;0;0;1;45;0;0;23;1;2;0;13;35;3;59;0;21;0;0;;;
2022/23;Kamp;Robin;14;434;12;0;0;0;0;4;37;0;0;0;45;1;45;13;45;90;13;0;0;0;0;0;0;0;0;6;0;0;90;0;0;0;45;;;
2022/23;Kötter;Marco;15;663;13;0;0;0;0;0;0;13;0;30;0;90;70;0;45;90;90;25;0;13;69;35;45;0;0;0;0;0;0;0;0;48;0;;;
2022/23;Merker;Tim;16;2589;31;0;90;90;90;90;90;78;45;90;72;90;90;90;90;90;90;90;90;85;90;56;90;90;90;90;90;3;90;90;90;90;90;;;
2022/23;Meyer;Jannis;17;2562;30;90;90;90;90;90;90;90;90;36;90;90;90;90;90;90;0;90;45;85;90;63;90;0;90;90;90;90;90;90;90;90;83;;;
2022/23;Moussa;Ramadan;18;40;3;0;0;3;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;;;
2022/23;Mustafaj;Erduan;19;1466;27;19;31;26;36;68;54;90;90;84;0;0;33;90;74;70;78;0;63;29;0;0;59;19;45;59;45;26;76;30;45;37;90;;;
2022/23;Over;Janis;20;1656;19;0;90;0;0;0;0;0;0;90;90;0;0;0;0;36;90;90;90;90;90;90;90;90;90;90;90;90;90;90;0;90;0;;;
2022/23;Pilz;Paul;21;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2022/23;Rehr;Hannes;22;1443;19;0;0;0;0;0;0;0;45;0;45;0;0;0;0;0;90;90;90;78;90;68;90;89;90;78;45;88;90;78;70;39;90;;;
2022/23;Rockoff;Patrick;23;2081;29;64;28;90;90;59;85;90;90;90;45;90;90;78;45;90;82;84;73;69;90;90;0;72;45;59;45;59;0;61;83;45;0;;;
2022/23;Söndgen;Steffen;24;1045;12;90;0;90;90;90;90;90;90;0;0;90;90;90;90;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2022/23;Tillack;Pascal;25;188;10;72;18;1;0;0;0;0;0;7;11;25;0;0;0;14;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;21;;;
2022/23;Tillmann;Luca;26;1852;22;90;73;89;90;90;90;0;90;90;45;0;0;0;0;0;0;66;90;90;0;90;88;90;90;87;0;90;90;90;90;54;0;;;
2022/23;Veltrup;Leon;27;719;16;90;63;65;55;23;6;37;45;0;0;90;45;0;45;21;90;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0;28;;;
2021/22;Befus;Tim;1;973;12;0;0;0;0;0;0;0;45;0;90;0;0;0;0;0;0;0;0;0;5;0;0;90;45;45;15;90;90;90;90;90;90;33;65;0
2021/22;Berisha;Alian;2;27;2;0;0;17;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021/22;Böggemann;Janes;3;1937;19;2;90;0;0;0;0;0;0;0;0;90;90;90;90;0;90;90;90;90;90;0;90;90;90;90;0;90;90;85;90;90;90;26;26;90
